,Unnamed: 0,Unnamed: 0.1,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
214,26685,26685,Al1Ti1Cr1Mn1Fe1Ru1,AlTiCrMnFeRu,0.7038,1.2419902532422762,1.1158297371565715,6.701289091489867
215,26687,26687,Al1Ti1Cr1Mn1Fe1Pd1,AlTiCrMnFePd,0.6981,1.1338841026813342,1.0508142594918088,6.719048879717645
216,26688,26688,Al1Ti1Cr1Mn1Fe1Ag1,AlTiCrMnFeAg,0.7166,1.1778189823163707,1.1166264458088715,6.562049963112127
221,26700,26700,Al1Ti1Cr1Mn1Co1Ni1,AlTiCrMnCoNi,0.7766,1.0867074722423804,1.0321878877394164,6.181833364129353
222,26705,26705,Al1Ti1Cr1Mn1Co1Nb1,AlTiCrMnCoNb,0.7517,1.022487340145728,0.91764174448452,6.329290848868571
223,26707,26707,Al1Ti1Cr1Mn1Co1Tc1,AlTiCrMnCoTc,0.6055,1.0000729533436574,0.9368153959165436,6.717662586332137
224,26708,26708,Al1Ti1Cr1Mn1Co1Ru1,AlTiCrMnCoRu,0.6973,1.0544925779670724,0.9825258922237522,6.82749167841155
225,26711,26711,Al1Ti1Cr1Mn1Co1Ag1,AlTiCrMnCoAg,0.7013,1.0140699635948165,0.9616490562626824,6.681865709884525
228,26727,26727,Al1Ti1Cr1Mn1Ni1Nb1,AlTiCrMnNiNb,0.7668,1.010644470466494,0.907899035302564,6.331978141601829
229,26730,26730,Al1Ti1Cr1Mn1Ni1Ru1,AlTiCrMnNiRu,0.7068,1.0412336728432894,0.9708132230684337,6.830921672
230,26733,26733,Al1Ti1Cr1Mn1Ni1Ag1,AlTiCrMnNiAg,0.7181,1.0025266095761012,0.9516280914581998,6.684988563884391
232,26745,26745,Al1Ti1Cr1Mn1Cu1Zn1,AlTiCrMnCuZn,0.7736,1.1009927368084425,1.0562017934664871,6.032472687438595
233,26748,26748,Al1Ti1Cr1Mn1Cu1Nb1,AlTiCrMnCuNb,0.7648,1.1991645118739114,1.071491231088197,6.358665974813136
234,26749,26749,Al1Ti1Cr1Mn1Cu1Mo1,AlTiCrMnCuMo,0.7691,1.1816363442004945,1.066226785031407,6.60302115123543
235,26750,26750,Al1Ti1Cr1Mn1Cu1Tc1,AlTiCrMnCuTc,0.6135,1.1905778453907236,1.1204474225605259,6.744681831668638
236,26751,26751,Al1Ti1Cr1Mn1Cu1Ru1,AlTiCrMnCuRu,0.7017,1.1572857073912566,1.0284084861490232,6.85365691032181
237,26753,26753,Al1Ti1Cr1Mn1Cu1Pd1,AlTiCrMnCuPd,0.7001,1.154127541067862,1.0754613754816496,6.869444879717646
238,26754,26754,Al1Ti1Cr1Mn1Cu1Ag1,AlTiCrMnCuAg,0.7265,1.1916851825105346,1.1361438522988525,6.708316095835238
243,26768,26768,Al1Ti1Cr1Mn1Zn1Nb1,AlTiCrMnZnNb,0.7491,1.018362231963997,0.9014848647984649,6.156103005190839
244,26769,26769,Al1Ti1Cr1Mn1Zn1Mo1,AlTiCrMnZnMo,0.757,1.0689560345219935,0.9759976342579691,6.38546698179372
245,26770,26770,Al1Ti1Cr1Mn1Zn1Tc1,AlTiCrMnZnTc,0.6018,1.0290703888954331,0.9575290791072716,6.5184306572923765
246,26771,26771,Al1Ti1Cr1Mn1Zn1Ru1,AlTiCrMnZnRu,0.6832,1.0801388198467952,0.976314635890238,6.621606583917524
247,26773,26773,Al1Ti1Cr1Mn1Zn1Pd1,AlTiCrMnZnPd,0.6796,1.0366824135986874,0.9748055287627404,6.6396748277828035
248,26774,26774,Al1Ti1Cr1Mn1Zn1Ag1,AlTiCrMnZnAg,0.7045,1.0042443764894604,0.9507148124520736,6.490652717797355
249,26778,26778,Al1Ti1Cr1Mn1Zn1Ta1,AlTiCrMnZnTa,0.7334,1.0025427074847089,0.8581751866992278,7.741432849411762
252,26823,26823,Al1Ti1Cr1Mn1Nb1Mo1,AlTiCrMnNbMo,0.7649,1.2219727241468834,1.0730688521862444,6.68779832147826
253,26824,26824,Al1Ti1Cr1Mn1Nb1Tc1,AlTiCrMnNbTc,0.6133,1.0931224886777726,0.9413160986596041,6.820990579669237
254,26825,26825,Al1Ti1Cr1Mn1Nb1Ru1,AlTiCrMnNbRu,0.684,1.2060308085285243,1.0386076785679128,6.922974978645947
255,26827,26827,Al1Ti1Cr1Mn1Nb1Pd1,AlTiCrMnNbPd,0.6772,1.16371251724153,1.0372659113693827,6.936853569912279
256,26828,26828,Al1Ti1Cr1Mn1Nb1Ag1,AlTiCrMnNbAg,0.7003,1.1154050965468545,1.0003679289953415,6.784669418547007
261,26840,26840,Al1Ti1Cr1Mn1Mo1Tc1,AlTiCrMnMoTc,0.6119,1.1422269114037766,1.015236142229379,7.071801074557822
262,26841,26841,Al1Ti1Cr1Mn1Mo1Ru1,AlTiCrMnMoRu,0.6937,1.179692832226055,1.0212498068520866,7.1784138673059354
263,26843,26843,Al1Ti1Cr1Mn1Mo1Pd1,AlTiCrMnMoPd,0.6865,1.1649272471710137,1.0522739241107244,7.189515837384443
264,26844,26844,Al1Ti1Cr1Mn1Mo1Ag1,AlTiCrMnMoAg,0.7052,1.182139577706702,1.090968851564003,7.026499086454445
269,26872,26872,Al1Ti1Cr1Mn1Ru1Pd1,AlTiCrMnRuPd,0.643,1.1420742103749042,1.0114810586588356,7.4446158384331795
270,26873,26873,Al1Ti1Cr1Mn1Ru1Ag1,AlTiCrMnRuAg,0.6453,1.1813327087033758,1.0697539617200968,7.271263080448429
274,26898,26898,Al1Ti1Cr1Mn1Pd1Ag1,AlTiCrMnPdAg,0.6485,1.1364130398074446,1.071576156063513,7.281037284341084
283,26976,26976,Al1Ti1Cr1Fe1Co1Ni1,AlTiCrFeCoNi,0.7875,1.1638132596364896,1.1128456972671097,6.231561847199999
284,26977,26977,Al1Ti1Cr1Fe1Co1Cu1,AlTiCrFeCoCu,0.7796,1.0701576654905367,1.0134909024327023,6.261807957676141
285,26978,26978,Al1Ti1Cr1Fe1Co1Zn1,AlTiCrFeCoZn,0.7603,1.0396073148441771,1.0062989737089283,6.045370151553972
286,26981,26981,Al1Ti1Cr1Fe1Co1Nb1,AlTiCrFeCoNb,0.7595,1.1399004703233555,1.0463495760970103,6.375642876877151
287,26982,26982,Al1Ti1Cr1Fe1Co1Mo1,AlTiCrFeCoMo,0.77,1.090893728486463,1.0006627538453594,6.623965765673757
288,26983,26983,Al1Ti1Cr1Fe1Co1Tc1,AlTiCrFeCoTc,0.6141,1.096396072478183,1.0424473071447995,6.767994042929171
