,Unnamed: 0,old_ID,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
4810,4810,315,Al1Sc1Rh1Pd1,AlScRhPd,0.5445,0.5360643024548599,0.5106253883599363,6.669949971371428
4811,4811,316,Al1Sc1Rh1Ag1,AlScRhAg,0.547,0.4745085947332123,0.4579583417955962,6.482051243038672
4812,4812,317,Al1Sc1Rh1Cd1,AlScRhCd,0.4847,0.5273149183380366,0.5235392406715419,6.200800494096229
4813,4813,318,Al1Sc1Rh1La1,AlScRhLa,0.5645,0.46164246814488297,0.4541794778175442,5.612310109870689
4814,4814,319,Al1Sc1Rh1Hf1,AlScRhHf,0.5999,0.547393022871996,0.5295890330226454,7.558411056649483
4822,4822,327,Al1Sc1Rh1Hg1,AlScRhHg,0.4544,0.6098382179675971,0.6088089417039709,7.799983704580724
4823,4823,328,Al1Sc1Pd1Ag1,AlScPdAg,0.5665,0.6105753976109549,0.5683360114578346,6.473223160708445
4824,4824,329,Al1Sc1Pd1Cd1,AlScPdCd,0.4898,0.6290676406429323,0.6071751537504642,6.196092785571245
4825,4825,330,Al1Sc1Pd1La1,AlScPdLa,0.5509,0.5600643522090891,0.5382597320934023,5.614674287803838
4826,4826,331,Al1Sc1Pd1Hf1,AlScPdHf,0.5838,0.661803615039848,0.6063191234966393,7.536472875267174
4834,4834,339,Al1Sc1Pd1Hg1,AlScPdHg,0.4449,0.7325378952098529,0.6928805856542603,7.77568316435105
4835,4835,340,Al1Sc1Ag1Cd1,AlScAgCd,0.5436,0.905664134375906,0.8591146119810465,6.040842341170608
4836,4836,341,Al1Sc1Ag1La1,AlScAgLa,0.5925,0.7609193109617701,0.7182406674332699,5.499588983326402
4837,4837,342,Al1Sc1Ag1Hf1,AlScAgHf,0.6318,0.9983785356836544,0.8738425073908778,7.342849135753085
4838,4838,343,Al1Sc1Ag1Ta1,AlScAgTa,0.6161,0.6699986310913439,0.5855056104490258,7.797537249947914
4845,4845,350,Al1Sc1Ag1Hg1,AlScAgHg,0.4963,1.043603831482887,0.9432404721942668,7.580513565378149
4846,4846,351,Al1Sc1Cd1La1,AlScCdLa,0.5701,0.6451856976916367,0.6091838923575007,5.328714083376365
4847,4847,352,Al1Sc1Cd1Hf1,AlScCdHf,0.5942,1.0335278571213569,0.944763313315324,7.044582783578946
4848,4848,353,Al1Sc1Cd1Ta1,AlScCdTa,0.5631,0.6686316841239993,0.6102285999242716,7.458695065141449
4849,4849,354,Al1Sc1Cd1W1,AlScCdW,0.4894,0.5619527241290303,0.5375153459590694,7.726837269228824
4855,4855,360,Al1Sc1Cd1Hg1,AlScCdHg,0.5293,0.8521535245202347,0.7551671708765059,7.27787958993166
4856,4856,361,Al1Sc1La1Hf1,AlScLaHf,0.6844,0.8716566804568521,0.7960393039518748,6.373694755384615
