AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,Phase
51.4688,3039,160,1.645,146,0.000165,6650,21.65,1908.5,12.95,4.08,468.5,62.5,5.5,396,0
52.2652,2698.5,150.1,1.7135,134.1,0.0178305,7219.9,16.31,1488.08,12.41,10.2233,499.7,82.89,4.05,332.5,1
60.5511,2944.4,191,1.875,133,0.0567,8331.6,14.59,1580.6,11.99,16.804,428.1,86.1,3.3,361.8,0
161.107,5352.25,275,2.17,162.5,5.08E-06,16580,32.95,3185.75,16.425,14.0875,165.25,141,5.75,772.5,0
132.188,1147,25.15,1.445,171,9.75E-07,6947,7.8,571.535,34.85,3510,206,55,2.5,137.5,1
52.9905,2644.86,146.571,1.76286,130.429,0.0207754,7428.86,14.9571,1340.85,12.3429,9.239,504.343,143.814,3.42857,321.714,1
175.058,4135,292,2.2,140.6,1.58E-09,20484.6,24.14,2283.78,14.3,341.38,152.8,134.2,5.6,524,0
171.728,4423,204,1.55,173.5,2.60E-06,14460.5,21.5,2249.5,23.9,24545,188.5,29.5,5,505,1
48.6356,3317,122.5,1.5625,158.25,0.0049975,4907.75,19.725,1728.5,16.65,5.84,512.25,24.25,4.25,432,0
109.458,1673.75,79.7,1.846,144.65,1.04E-07,9846,9.55,737.532,18.675,898.84,233.25,313.1,1.35,200.75,0
102.355,3831.5,332,2.256,143.2,7.90E-10,12426,22.9,2075,13.67,102.28,239.4,141,6,520.5,0
92.045,1754.5,64,1.805,130.5,4.01E-05,7225,7.175,325.73,21.1,0.86,302.5,93.5,3,204.5,1
190.403,4205.5,265,2.45,149,5.52E-07,19275,23.75,2243.09,16.45,58.55,130.55,245,5.5,565,1
83.9368,4301,200,2.005,155.5,0.00165083,8836.75,31.675,2384.25,16.025,3.475,318.25,109.75,5.5,556.25,0
161.87,5326,290,2.31,160,1.10E-06,17007.5,35.25,3222.25,15.8,14.45,161.75,162.25,6,750,0
99.7925,4272.25,222.5,2.19,148,2.76E-07,11847.5,28.275,2406.25,14.075,2.6,241.25,124.75,6,585,0
54.3168,2820.4,165.767,1.80535,129.605,0.0203628,7833.02,16.4907,1533.28,11.8093,11.0302,473.07,101.047,3.69767,355.093,0
59.9065,2825.25,170,1.9075,126,8.45E-05,8921,16.175,1362.4,11.125,4.32,429.85,168.25,2,358.5,0
134.996,2188.5,38.75,1.1825,196,1.18E-05,6632.75,9.225,1185.5,33.75,4425.32,221.5,14,3,226.25,0
205.087,1542,43.75,1.7975,145.25,2.91E-06,11722.5,4.3425,309.865,29.125,2.59275,128.5,43.25,3.25,168.25,0
68.358,928.5,43.5,1.5,142.5,0.0145001,5194,7.5,485.535,22.399,1225.03,625,128,2,114,0
69.9263,3119,230,1.98,130,2.25E-05,9787.5,17.575,1612.25,11.675,64.15,375.75,112.5,4.5,405,0
179.496,5449.75,359.5,1.888,150.4,7.00E-06,20328.5,32.375,3122.05,14.57,85.655,152.55,50.3,6.95,686.7,0
101.261,801,43.5,2.14,128.5,1.05E-06,5983.5,22.6,633.255,27.85,4.8,264.5,26.5,5.5,40.2,1
